Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"San Francisco",Weekly,"2024-01-08 00:00:00",Conventional,1.350970065,723087.02,528644.00,65534.92,4391.46,124516.64,,,
Seattle,Weekly,"2024-01-28 00:00:00",Conventional,1.373691358,550940.77,197768.51,241913.03,2734.28,108524.94,,,
Seattle,Weekly,"2024-01-21 00:00:00",Conventional,1.394745082,529763.36,214307.85,201000.73,10927.21,103527.57,,,
Seattle,Weekly,"2024-01-14 00:00:00",Conventional,1.349757026,579231.67,220046.67,231470.49,17865.38,109849.13,,,
Seattle,Weekly,"2024-01-08 00:00:00",Conventional,1.376856335,553270.68,222899.15,205589.05,18659.55,106122.94,,,
"South Carolina",Weekly,"2024-01-28 00:00:00",Conventional,1.035861657,594195.09,368730.38,54860.53,439.09,170165.09,,,
"South Carolina",Weekly,"2024-01-21 00:00:00",Conventional,1.032843336,602425.32,350553.23,75628.89,120.29,176122.92,,,
"South Carolina",Weekly,"2024-01-14 00:00:00",Conventional,1.019437070,608571.26,365512.07,63057.53,199.86,179801.80,,,
"South Carolina",Weekly,"2024-01-08 00:00:00",Conventional,1.032388269,562409.08,320371.36,72462.19,280.91,169294.62,,,
"South Central",Weekly,"2024-01-28 00:00:00",Conventional,0.819246868,5514559.78,2899574.51,790336.22,10085.34,1814563.70,,,
"South Central",Weekly,"2024-01-21 00:00:00",Conventional,0.845486637,4788404.14,2560988.38,638543.44,10943.37,1577928.95,,,
"South Central",Weekly,"2024-01-14 00:00:00",Conventional,0.806271270,6276220.78,3198080.26,917681.85,11809.01,2148649.66,,,
"South Central",Weekly,"2024-01-08 00:00:00",Conventional,0.814721626,5278691.19,2882524.48,759126.63,12755.28,1624284.80,,,
Southeast,Weekly,"2024-01-28 00:00:00",Conventional,0.972009069,6446748.93,4573384.20,192428.33,861.45,1680074.95,,,
Southeast,Weekly,"2024-01-21 00:00:00",Conventional,0.965899465,6244163.39,4272544.15,243109.17,558.51,1727951.57,,,
Southeast,Weekly,"2024-01-14 00:00:00",Conventional,1.025692931,6121407.46,4184372.34,233683.33,723.86,1702627.93,,,
